
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
00:1E:E5:75:A7:A7, 2011-02-04 19:12:57, 2011-02-04 19:13:16, 11,  54, WEP , WEP,   , -86,        4,        0,   0.  0.  0.  0,   8, Graudenz, 
00:0E:E8:DC:19:26, 2011-02-04 19:12:57, 2011-02-04 19:13:12, 11,  54, WPA , TKIP,PSK, -87,        6,        0,   0.  0.  0.  0,   7, LU&IGOR, 
00:21:27:D5:EB:96, 2011-02-04 19:13:01, 2011-02-04 19:13:16,  6,  54, WPA2WPA , CCMP TKIP,PSK, -86,        5,        0,   0.  0.  0.  0,  11, YO-WIRELESS, 
00:16:01:4A:9B:AD, 2011-02-04 19:12:57, 2011-02-04 19:13:16, 11,  54, WEP , WEP,   , -85,        7,        0,   0.  0.  0.  0,  11, Paulistania, 
00:05:9E:8C:E0:15, 2011-02-04 19:12:57, 2011-02-04 19:13:16,  6,  54, WPA2, CCMP,PSK, -85,        3,        0,   0.  0.  0.  0,   3, NEO, 
00:26:F2:07:ED:1C, 2011-02-04 19:13:01, 2011-02-04 19:13:17,  1,  54, WPA2WPA , CCMP TKIP,PSK, -86,        2,        0,   0.  0.  0.  0,  10, PedroPaulo, 
00:23:CD:11:D1:0C, 2011-02-04 19:13:04, 2011-02-04 19:13:16, 11,  54, WPA2WPA , CCMP,PSK, -86,        4,        0,   0.  0.  0.  0,   8, Producao, 
00:1E:58:14:B3:F4, 2011-02-04 19:12:54, 2011-02-04 19:13:17,  1,  54, WPA2, CCMP TKIP,PSK, -86,       13,        0,   0.  0.  0.  0,   7, SAN NET, 
00:14:BF:A8:5E:E9, 2011-02-04 19:13:01, 2011-02-04 19:13:12,  6,  54, WPA , TKIP,PSK, -85,        6,        0,   0.  0.  0.  0,   4, LAUB, 
00:21:91:6D:04:D8, 2011-02-04 19:12:57, 2011-02-04 19:13:16,  6,  54, WPA2, CCMP TKIP,PSK, -84,        6,        0,   0.  0.  0.  0,   5, dlink, 
00:26:5A:64:78:A0, 2011-02-04 19:12:57, 2011-02-04 19:13:13,  6,  54, WPA2, CCMP TKIP,PSK, -85,        7,        0,   0.  0.  0.  0,   5, mleme, 
00:27:19:D1:7D:56, 2011-02-04 19:13:01, 2011-02-04 19:13:12,  6,  54, WEP , WEP,   , -85,        2,        0,   0.  0.  0.  0,   8, Paoletti, 
00:1B:2F:52:5A:F2, 2011-02-04 19:13:01, 2011-02-04 19:13:16, 11,  54, WPA , TKIP,PSK, -85,        4,        0,   0.  0.  0.  0,  13, RICARDO&ALINE, 
00:1B:11:27:05:B6, 2011-02-04 19:12:54, 2011-02-04 19:13:16,  6,  54, WEP , WEP,   , -84,        9,        0,   0.  0.  0.  0,   5, dlink, 
00:23:69:F3:0A:B6, 2011-02-04 19:12:57, 2011-02-04 19:13:16,  6,  54, WPA2WPA , CCMP TKIP,PSK, -83,       11,        1,   0.  0.  0.  0,   7, tornado, 
00:1C:B3:AC:DD:E4, 2011-02-04 19:12:57, 2011-02-04 19:13:16, 11,  54, WPA2, CCMP,PSK, -81,       13,        0,   0.  0.  0.  0,   7, AirPort, 
00:1E:E5:49:4F:3C, 2011-02-04 19:12:54, 2011-02-04 19:13:16,  6,  54, WPA , TKIP,PSK, -81,       21,        0,   0.  0.  0.  0,   4, casa, 
